,State,Station,Spoke ,address,gmap_latitude,gmap_longitude
147,Rajasthan,Jhalawar,FMCG-JHALAWAR - ER,"Jhalawar, Rajasthan",24.5973494,76.1609838
148,Rajasthan,Karauli,FMCG-KARAULI - ER,"Karauli, Rajasthan",26.488323,77.01614359999999
149,Rajasthan,Malpura,FMCG-MALPURA - ER,"Malpura, Rajasthan",26.3005677,75.36966140000001
150,Rajasthan,Phagi,FMCG-PHAGI - ER,"Phagi, Rajasthan",26.578406,75.5684254
151,Rajasthan,Deoli,FMCG-DEOLI - ER,"Deoli, Rajasthan",25.7582176,75.38181569999999
152,Rajasthan,Pali,FMCG-PALI - ER,"Pali, Rajasthan",25.7780623,73.331147
153,Rajasthan,Chirawa,FMCG-CHIRAWA - ER,"Chirawa, Rajasthan",28.2415999,75.6499025
154,Rajasthan,Aklera,FMCG-AKLERA - ER,"Aklera, Rajasthan",24.4164292,76.56905189999999
155,Rajasthan,Khairthal,FMCG-KHAIRTHAL - ER,"Khairthal, Rajasthan",27.8011636,76.6441591
156,Rajasthan,"Falna (M) ,",FMCG-FALNA - ER,"Falna (M) ,, Rajasthan",25.2332965,73.2452239
157,Rajasthan,Keshoraipatan,FMCG-KESHORAIPATAN - ER,"Keshoraipatan, Rajasthan",25.2966734,75.9405178
158,Rajasthan,Balotra,FMCG-BALOTRA - ER,"Balotra, Rajasthan",25.8302463,72.24556989999999
159,Rajasthan,Ladnu,FMCG-LADNU - ER,"Ladnu, Rajasthan",27.6442908,74.38806989999999
160,Rajasthan,Gangapur City,FMCG-GANGAPUR - ER,"Gangapur City, Rajasthan",26.4833211,76.73400939999999
161,Rajasthan,Jodhpur,FMCG-CO-JODHPUR - ER,"Jodhpur, Rajasthan",26.2389469,73.02430939999999
162,Rajasthan,Sawai Madhopur,FMCG-SAWAI MADHOPUR - ER,"Sawai Madhopur, Rajasthan",26.012373,76.3560109
163,Rajasthan,Beawar,FMCG-BEAWAR - ER,"Beawar, Rajasthan",26.104585,74.31990379999999
164,Gujarat,Vallabh Vidyanagar,FMCG-VALLABH VIDYANAGAR - ER,"Vallabh Vidyanagar, Gujarat",22.5459097,72.92939439999999
165,Gujarat,Patan,FMCG-PATAN - ER,"Patan, Gujarat",23.8500156,72.1210274
166,Gujarat,Dakor (M + OG),FMCG-DAKOR - ER,"Dakor (M + OG), Gujarat",22.7545035,73.1497121
167,Gujarat,Radhanpur,FMCG-RADHANPUR - ER,"Radhanpur, Gujarat",23.8286354,71.6139348
168,Gujarat,Modasa,FMCG-MODASA - ER,"Modasa, Gujarat",23.464311,73.29875779999999
169,Gujarat,Mehsana,FMCG-MEHSANA - ER,"Mehsana, Gujarat",23.5879607,72.36932519999999
170,Gujarat,Deesa,FMCG-DEESA - ER,"Deesa, Gujarat",24.2585055,72.1906739
171,Gujarat,Viramgam,FMCG-VIRAMGAM - ER,"Viramgam, Gujarat",23.1249646,72.0535829
172,Gujarat,Palanpur,FMCG-PALANPUR - ER,"Palanpur, Gujarat",24.1724338,72.434581
173,Gujarat,Tharad,FMCG-THARAD - ER,"Tharad, Gujarat",24.396687,71.6271514
174,Gujarat,Himatnagar,FMCG-HIMATNAGAR - ER,"Himatnagar, Gujarat",23.5968857,72.9630378
175,Gujarat,Halol,FMCG-HALOL - ER,"Halol, Gujarat",22.5045713,73.4713666
176,Gujarat,Dehgam,FMCG-DEHGAM - ER,"Dehgam, Gujarat",23.1637196,72.81024500000001
177,Gujarat,Surendranagar Dudhrej,FMCG-SURENDRANAGAR - ER,"Surendranagar Dudhrej, Gujarat",22.7251204,71.63695419999999
178,Gujarat,Chhota Udaipur,FMCG-CHHOTA UDAIPUR - ER,"Chhota Udaipur, Gujarat",22.3084941,74.0119993
179,Gujarat,Jhalod,FMCG-JHALOD - ER,"Jhalod, Gujarat",23.0981684,74.1643497
